成就类型ID,成就名称key,成就条件文案key,成就三档条件数值,成就图标,,,,,,,,,,,,,,,
TypeID,NameKey,DonditionKey,Criteria,Icon,,,,,,,,,,,,,,,
1,DoubleHit1,DoubleHit,100,DoubleHitIcon1,,,,,,,,,,,,,,,
2,DoubleHit2,DoubleHit,1000,DoubleHitIcon2,,,,,,,,,,,,,,,
3,DoubleHit3,DoubleHit,10000,DoubleHitIcon3,,,,,,,,,,,,,,,
4,BreakIce1,BreakIce,200,BreakIceIcon1,,,,,,,,,,,,,,,
5,BreakIce2,BreakIce,1000,BreakIceIcon2,,,,,,,,,,,,,,,
6,BreakIce3,BreakIce,10000,BreakIceIcon3,,,,,,,,,,,,,,,
7,CollectLeaves1,CollectLeaves,50,CollectLeavesIcon1,,,,,,,,,,,,,,,
8,CollectLeaves2,CollectLeaves,200,CollectLeavesIcon2,,,,,,,,,,,,,,,
9,CollectLeaves3,CollectLeaves,1000,CollectLeavesIcon3,,,,,,,,,,,,,,,
10,PickFlowers1,PickFlowers,100,PickFlowersIcon1,,,,,,,,,,,,,,,
11,PickFlowers2,PickFlowers,500,PickFlowersIcon2,,,,,,,,,,,,,,,
12,PickFlowers3,PickFlowers,5000,PickFlowersIcon3,,,,,,,,,,,,,,,
13,Perfect1,Perfect,10,PerfectIcon1,,,,,,,,,,,,,,,
14,Perfect2,Perfect,100,PerfectIcon2,,,,,,,,,,,,,,,
15,Perfect3,Perfect,1000,PerfectIcon3,,,,,,,,,,,,,,,
