头像框ID,解锁类型,解锁条件,头像框图标,提示文案key,,,,,,,,,,,,,,,,
AvatarFrameID,Type,Condition,Icon,PromptText,,,,,,,,,,,,,,,,
1,0,0,AvatarFrameIcon1,,,,,,,,,,,,,,,,,
2,0,0,AvatarFrameIcon2,,,,,,,,,,,,,,,,,
3,0,0,AvatarFrameIcon3,,,,,,,,,,,,,,,,,
4,0,0,AvatarFrameIcon4,,,,,,,,,,,,,,,,,
5,1,7,AvatarFrameIcon5,AchievementUnlock1,,,,,,,,,,,,,,,,
6,1,4,AvatarFrameIcon6,AchievementUnlock2,,,,,,,,,,,,,,,,
7,1,10,AvatarFrameIcon7,AchievementUnlock3,,,,,,,,,,,,,,,,
8,2,1,AvatarFrameIcon8,AchievementUnlock4,,,,,,,,,,,,,,,,
9,3,3,AvatarFrameIcon9,AchievementUnlock5,,,,,,,,,,,,,,,,
10,3,7,AvatarFrameIcon10,AchievementUnlock6,,,,,,,,,,,,,,,,
11,3,10,AvatarFrameIcon11,AchievementUnlock7,,,,,,,,,,,,,,,,
12,3,12,AvatarFrameIcon12,AchievementUnlock8,,,,,,,,,,,,,,,,
13,1,2,AvatarFrameIcon13,AchievementUnlock9,,,,,,,,,,,,,,,,
14,1,15,AvatarFrameIcon14,AchievementUnlock10,,,,,,,,,,,,,,,,
