蝴蝶ID,名称,,抽取权重,所属场景,星级,图片资源,,,,,,,,,,,,,,,
id,name,,weight,sceneID,rarity,butterflyIcon,,,,,,,,,,,,,,,
1,ButterflyName101,阿波罗绢蝶,100,1,1,ButterflyName101,,,,,,,,,,,,,,,
2,ButterflyName102,八目丝蛱蝶,100,1,1,ButterflyName102,,,,,,,,,,,,,,,
3,ButterflyName103,白蝴蝶,100,1,1,ButterflyName103,,,,,,,,,,,,,,,
4,ButterflyName104,白伞弄蝶,100,1,1,ButterflyName104,,,,,,,,,,,,,,,
5,ButterflyName105,斑缘豆粉蝶,100,1,1,ButterflyName105,,,,,,,,,,,,,,,
6,ButterflyName106,达摩麝凤蝶,100,1,1,ButterflyName106,,,,,,,,,,,,,,,
7,ButterflyName201,巴黎翠凤蝶,20,1,2,ButterflyName201,,,,,,,,,,,,,,,
8,ButterflyName202,翠叶红颈凤蝶,20,1,2,ButterflyName202,,,,,,,,,,,,,,,
9,ButterflyName301,88多涡蛱蝶,2,1,3,ButterflyName301,,,,,,,,,,,,,,,
10,ButterflyName107,大白斑蝶,100,2,1,ButterflyName107,,,,,,,,,,,,,,,
11,ButterflyName108,大天堂鸟翼凤蝶,100,2,1,ButterflyName108,,,,,,,,,,,,,,,
12,ButterflyName109,豆粉蝶,100,2,1,ButterflyName109,,,,,,,,,,,,,,,
13,ButterflyName110,端红蝶,100,2,1,ButterflyName110,,,,,,,,,,,,,,,
14,ButterflyName111,非洲白凤蝶,100,2,1,ButterflyName111,,,,,,,,,,,,,,,
15,ButterflyName112,粉蝶,100,2,1,ButterflyName112,,,,,,,,,,,,,,,
16,ButterflyName203,大黄带凤蝶,20,2,2,ButterflyName203,,,,,,,,,,,,,,,
17,ButterflyName204,大燕尾蝶,20,2,2,ButterflyName204,,,,,,,,,,,,,,,
18,ButterflyName302,东方之珠蝶,2,2,3,ButterflyName302,,,,,,,,,,,,,,,
19,ButterflyName113,柑橘凤蝶,100,3,1,ButterflyName113,,,,,,,,,,,,,,,
20,ButterflyName114,红带黑粉蝶,100,3,1,ButterflyName114,,,,,,,,,,,,,,,
21,ButterflyName115,虎斑玳瑁凤蝶,100,3,1,ButterflyName115,,,,,,,,,,,,,,,
22,ButterflyName116,虎斑蝶,100,3,1,ButterflyName116,,,,,,,,,,,,,,,
23,ButterflyName117,绿袖蝶,100,3,1,ButterflyName117,,,,,,,,,,,,,,,
24,ButterflyName118,美姝凤蝶,100,3,1,ButterflyName118,,,,,,,,,,,,,,,
25,ButterflyName205,大紫蛱蝶,20,3,2,ButterflyName205,,,,,,,,,,,,,,,
26,ButterflyName206,钩凤蝶,20,3,2,ButterflyName206,,,,,,,,,,,,,,,
27,ButterflyName207,褐钩凤蝶,20,3,2,ButterflyName207,,,,,,,,,,,,,,,
28,ButterflyName208,黑脉蛱蝶,20,3,2,ButterflyName208,,,,,,,,,,,,,,,
29,ButterflyName209,红斑美凤蝶,20,3,2,ButterflyName209,,,,,,,,,,,,,,,
30,ButterflyName210,红尖粉翅蝶,20,3,2,ButterflyName210,,,,,,,,,,,,,,,
31,ButterflyName303,非洲青凤蝶,5,3,3,ButterflyName303,,,,,,,,,,,,,,,
32,ButterflyName304,极乐鸟翼凤蝶,5,3,3,ButterflyName304,,,,,,,,,,,,,,,
33,ButterflyName305,蓝豹律蛱蝶,5,3,3,ButterflyName305,,,,,,,,,,,,,,,
34,ButterflyName119,鸟翼裳凤蝶雌蝶,100,4,1,ButterflyName119,,,,,,,,,,,,,,,
35,ButterflyName120,青斑蝶,100,4,1,ButterflyName120,,,,,,,,,,,,,,,
36,ButterflyName121,青带透翅蛱蝶,100,4,1,ButterflyName121,,,,,,,,,,,,,,,
37,ButterflyName122,三尾螯蛱蝶,100,4,1,ButterflyName122,,,,,,,,,,,,,,,
38,ButterflyName123,双尾蛱蝶,100,4,1,ButterflyName123,,,,,,,,,,,,,,,
39,ButterflyName124,天堂凤蝶,100,4,1,ButterflyName124,,,,,,,,,,,,,,,
40,ButterflyName211,黄凤蝶,20,4,2,ButterflyName211,,,,,,,,,,,,,,,
41,ButterflyName212,交脉环蝶,20,4,2,ButterflyName212,,,,,,,,,,,,,,,
42,ButterflyName213,蓝裙美凤蝶,20,4,2,ButterflyName213,,,,,,,,,,,,,,,
43,ButterflyName214,里士满鸟翼凤蝶,20,4,2,ButterflyName214,,,,,,,,,,,,,,,
44,ButterflyName215,猫蛱蝶,20,4,2,ButterflyName215,,,,,,,,,,,,,,,
45,ButterflyName216,玫瑰青凤蝶,20,4,2,ButterflyName216,,,,,,,,,,,,,,,
46,ButterflyName306,琉球紫蛱蝶,5,4,3,ButterflyName306,,,,,,,,,,,,,,,
47,ButterflyName307,猫头鹰蝶,5,4,3,ButterflyName307,,,,,,,,,,,,,,,
48,ButterflyName308,玫瑰水晶眼蝶,5,4,3,ButterflyName308,,,,,,,,,,,,,,,
