等级,境界名称key,境界禅意key,升下一级需要的禅意分,,,,,,,,,,,,,,,,,
Level,Name,Feel,UpScore,,,,,,,,,,,,,,,,,
1,ZL01,AC01,1500,,,,,,,,,,,,,,,,,
2,ZL02,AC02,2250,,,,,,,,,,,,,,,,,
3,ZL03,AC03,3375,,,,,,,,,,,,,,,,,
4,ZL04,AC04,5060,,,,,,,,,,,,,,,,,
5,ZL05,AC05,7600,,,,,,,,,,,,,,,,,
6,ZL06,AC06,11400,,,,,,,,,,,,,,,,,
7,ZL07,AC07,14800,,,,,,,,,,,,,,,,,
8,ZL08,AC08,19250,,,,,,,,,,,,,,,,,
9,ZL09,AC09,25025,,,,,,,,,,,,,,,,,
10,ZL10,AC10,32500,,,,,,,,,,,,,,,,,
11,ZL11,AC11,42300,,,,,,,,,,,,,,,,,
12,ZL12,AC12,54980,,,,,,,,,,,,,,,,,
13,ZL13,AC13,60480,,,,,,,,,,,,,,,,,
14,ZL14,AC14,66530,,,,,,,,,,,,,,,,,
15,ZL15,AC15,73180,,,,,,,,,,,,,,,,,
16,ZL16,AC16,73770,,,,,,,,,,,,,,,,,
17,ZL17,AC17,74360,,,,,,,,,,,,,,,,,
18,ZL18,AC18,74950,,,,,,,,,,,,,,,,,
19,ZL19,AC19,75400,,,,,,,,,,,,,,,,,
20,ZL20,AC20,75850,,,,,,,,,,,,,,,,,
21,ZL21,AC21,76310,,,,,,,,,,,,,,,,,
22,ZL22,AC22,76690,,,,,,,,,,,,,,,,,
23,ZL23,AC23,77070,,,,,,,,,,,,,,,,,
24,ZL24,AC24,77460,,,,,,,,,,,,,,,,,
25,ZL25,AC25,77850,,,,,,,,,,,,,,,,,
26,ZL26,AC26,78230,,,,,,,,,,,,,,,,,
27,ZL27,AC27,78630,,,,,,,,,,,,,,,,,
28,ZL28,AC28,86490,,,,,,,,,,,,,,,,,
29,ZL29,AC29,95140,,,,,,,,,,,,,,,,,
30,ZL30,AC30,114160,,,,,,,,,,,,,,,,,
31,ZL31,AC31,137000,,,,,,,,,,,,,,,,,
32,ZL32,AC32,205500,,,,,,,,,,,,,,,,,
33,ZL33,AC33,369890,,,,,,,,,,,,,,,,,
34,ZL34,AC34,739780,,,,,,,,,,,,,,,,,
35,ZL35,AC35,1479550,,,,,,,,,,,,,,,,,
36,ZL36,AC36,2960000,,,,,,,,,,,,,,,,,
