文案的key,"生命周期限制

需要≥生命周期条件才展示的文案

0代表无限制","时间

M 开头是早晨的序列：2-10点
D 开头是白天的序列：10-20点
N 开头是夜晚的序列：20-2点",顺序,,,,,,,,,,,,,,,,
key,DayLife,TimeCycle,Order,,,,,,,,,,,,,,,,
loadText01,0,M,1,,,,,,,,,,,,,,,,
loadText02,0,M,2,,,,,,,,,,,,,,,,
loadText03,0,M,3,,,,,,,,,,,,,,,,
loadText04,1,M,4,,,,,,,,,,,,,,,,
loadText05,1,M,5,,,,,,,,,,,,,,,,
loadText06,1,M,6,,,,,,,,,,,,,,,,
loadText07,2,M,7,,,,,,,,,,,,,,,,
loadText08,2,M,8,,,,,,,,,,,,,,,,
loadText09,3,M,9,,,,,,,,,,,,,,,,
loadText10,3,M,10,,,,,,,,,,,,,,,,
loadText11,5,M,11,,,,,,,,,,,,,,,,
loadText12,5,M,12,,,,,,,,,,,,,,,,
loadText13,10,M,13,,,,,,,,,,,,,,,,
loadText14,10,M,14,,,,,,,,,,,,,,,,
loadText15,20,M,15,,,,,,,,,,,,,,,,
loadText16,30,M,16,,,,,,,,,,,,,,,,
loadText17,0,D,1,,,,,,,,,,,,,,,,
loadText18,0,D,2,,,,,,,,,,,,,,,,
loadText19,0,D,3,,,,,,,,,,,,,,,,
loadText20,0,D,4,,,,,,,,,,,,,,,,
loadText21,0,D,5,,,,,,,,,,,,,,,,
loadText22,0,D,6,,,,,,,,,,,,,,,,
loadText23,2,D,7,,,,,,,,,,,,,,,,
loadText24,2,D,8,,,,,,,,,,,,,,,,
loadText25,3,D,9,,,,,,,,,,,,,,,,
loadText26,3,D,10,,,,,,,,,,,,,,,,
loadText27,5,D,11,,,,,,,,,,,,,,,,
loadText28,5,D,12,,,,,,,,,,,,,,,,
loadText29,10,D,13,,,,,,,,,,,,,,,,
loadText30,10,D,14,,,,,,,,,,,,,,,,
loadText31,20,D,15,,,,,,,,,,,,,,,,
loadText32,20,D,16,,,,,,,,,,,,,,,,
loadText33,20,D,17,,,,,,,,,,,,,,,,
loadText34,30,D,18,,,,,,,,,,,,,,,,
loadText35,30,D,19,,,,,,,,,,,,,,,,
loadText36,0,N,1,,,,,,,,,,,,,,,,
loadText37,0,N,2,,,,,,,,,,,,,,,,
loadText38,0,N,3,,,,,,,,,,,,,,,,
loadText39,0,N,4,,,,,,,,,,,,,,,,
loadText40,0,N,5,,,,,,,,,,,,,,,,
loadText41,1,N,6,,,,,,,,,,,,,,,,
loadText42,1,N,7,,,,,,,,,,,,,,,,
loadText43,2,N,8,,,,,,,,,,,,,,,,
loadText44,2,N,9,,,,,,,,,,,,,,,,
loadText45,3,N,10,,,,,,,,,,,,,,,,
loadText46,3,N,11,,,,,,,,,,,,,,,,
loadText47,5,N,12,,,,,,,,,,,,,,,,
loadText48,5,N,13,,,,,,,,,,,,,,,,
loadText49,10,N,14,,,,,,,,,,,,,,,,
loadText50,10,N,15,,,,,,,,,,,,,,,,
loadText51,15,N,16,,,,,,,,,,,,,,,,
loadText52,15,N,17,,,,,,,,,,,,,,,,
loadText53,20,N,18,,,,,,,,,,,,,,,,
loadText54,20,N,19,,,,,,,,,,,,,,,,
loadText55,30,N,20,,,,,,,,,,,,,,,,
loadText56,30,N,21,,,,,,,,,,,,,,,,
