ID,境界,排名,奖励内容,,,,,,,,,,,,,,,,
id,state,ranking,reward,,,,,,,,,,,,,,,,
101,1,1,0;100#1;3#2;2,,,,,,,,,,,,,,,,
102,1,2,0;100#1;3#2;1,,,,,,,,,,,,,,,,
103,1,3,0;100#1;3,,,,,,,,,,,,,,,,
104,1,4,0;100,,,,,,,,,,,,,,,,
105,1,5,0;100,,,,,,,,,,,,,,,,
106,1,6,0;100,,,,,,,,,,,,,,,,
107,1,7,0;100,,,,,,,,,,,,,,,,
108,1,8,0;100,,,,,,,,,,,,,,,,
201,2,1,0;100#1;5#2;3,,,,,,,,,,,,,,,,
202,2,2,0;100#1;5#2;1,,,,,,,,,,,,,,,,
203,2,3,0;100#1;5,,,,,,,,,,,,,,,,
204,2,4,0;100,,,,,,,,,,,,,,,,
205,2,5,0;100,,,,,,,,,,,,,,,,
206,2,6,0;100,,,,,,,,,,,,,,,,
207,2,7,0;100,,,,,,,,,,,,,,,,
208,2,8,0;100,,,,,,,,,,,,,,,,
301,3,1,0;100#1;6#2;3,,,,,,,,,,,,,,,,
302,3,2,0;100#1;6#2;1,,,,,,,,,,,,,,,,
303,3,3,0;100#1;6,,,,,,,,,,,,,,,,
304,3,4,0;100,,,,,,,,,,,,,,,,
305,3,5,0;100,,,,,,,,,,,,,,,,
306,3,6,0;100,,,,,,,,,,,,,,,,
307,3,7,0;100,,,,,,,,,,,,,,,,
308,3,8,0;100,,,,,,,,,,,,,,,,
401,4,1,0;100#1;8#2;3,,,,,,,,,,,,,,,,
402,4,2,0;100#1;8#2;1,,,,,,,,,,,,,,,,
403,4,3,0;100#1;8,,,,,,,,,,,,,,,,
404,4,4,0;100,,,,,,,,,,,,,,,,
405,4,5,0;100,,,,,,,,,,,,,,,,
406,4,6,0;100,,,,,,,,,,,,,,,,
407,4,7,0;100,,,,,,,,,,,,,,,,
408,4,8,0;100,,,,,,,,,,,,,,,,
501,5,1,0;100#1;9#2;3,,,,,,,,,,,,,,,,
502,5,2,0;100#1;9#2;1,,,,,,,,,,,,,,,,
503,5,3,0;100#1;9,,,,,,,,,,,,,,,,
504,5,4,0;100,,,,,,,,,,,,,,,,
505,5,5,0;100,,,,,,,,,,,,,,,,
506,5,6,0;100,,,,,,,,,,,,,,,,
507,5,7,0;100,,,,,,,,,,,,,,,,
508,5,8,0;100,,,,,,,,,,,,,,,,
601,6,1,0;100#1;10#2;3,,,,,,,,,,,,,,,,
602,6,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
603,6,3,0;100#1;10,,,,,,,,,,,,,,,,
604,6,4,0;100,,,,,,,,,,,,,,,,
605,6,5,0;100,,,,,,,,,,,,,,,,
606,6,6,0;100,,,,,,,,,,,,,,,,
607,6,7,0;100,,,,,,,,,,,,,,,,
608,6,8,0;100,,,,,,,,,,,,,,,,
701,7,1,0;100#1;12#2;3,,,,,,,,,,,,,,,,
702,7,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
703,7,3,0;100#1;10,,,,,,,,,,,,,,,,
704,7,4,0;100,,,,,,,,,,,,,,,,
705,7,5,0;100,,,,,,,,,,,,,,,,
706,7,6,0;100,,,,,,,,,,,,,,,,
707,7,7,0;100,,,,,,,,,,,,,,,,
708,7,8,0;100,,,,,,,,,,,,,,,,
801,8,1,0;100#1;15#2;3,,,,,,,,,,,,,,,,
802,8,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
803,8,3,0;100#1;10,,,,,,,,,,,,,,,,
804,8,4,0;100,,,,,,,,,,,,,,,,
805,8,5,0;100,,,,,,,,,,,,,,,,
806,8,6,0;100,,,,,,,,,,,,,,,,
807,8,7,0;100,,,,,,,,,,,,,,,,
808,8,8,0;100,,,,,,,,,,,,,,,,
901,9,1,0;100#1;15#2;3,,,,,,,,,,,,,,,,
902,9,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
903,9,3,0;100#1;10,,,,,,,,,,,,,,,,
904,9,4,0;100,,,,,,,,,,,,,,,,
905,9,5,0;100,,,,,,,,,,,,,,,,
906,9,6,0;100,,,,,,,,,,,,,,,,
907,9,7,0;100,,,,,,,,,,,,,,,,
908,9,8,0;100,,,,,,,,,,,,,,,,
1001,10,1,0;100#1;15#2;3,,,,,,,,,,,,,,,,
1002,10,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
1003,10,3,0;100#1;10,,,,,,,,,,,,,,,,
1004,10,4,0;100,,,,,,,,,,,,,,,,
1005,10,5,0;100,,,,,,,,,,,,,,,,
1006,10,6,0;100,,,,,,,,,,,,,,,,
1007,10,7,0;100,,,,,,,,,,,,,,,,
1008,10,8,0;100,,,,,,,,,,,,,,,,
1101,11,1,0;100#1;15#2;3,,,,,,,,,,,,,,,,
1102,11,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
1103,11,3,0;100#1;10,,,,,,,,,,,,,,,,
1104,11,4,0;100,,,,,,,,,,,,,,,,
1105,11,5,0;100,,,,,,,,,,,,,,,,
1106,11,6,0;100,,,,,,,,,,,,,,,,
1107,11,7,0;100,,,,,,,,,,,,,,,,
1108,11,8,0;100,,,,,,,,,,,,,,,,
1201,12,1,0;100#1;15#2;3,,,,,,,,,,,,,,,,
1202,12,2,0;100#1;10#2;1,,,,,,,,,,,,,,,,
1203,12,3,0;100#1;10,,,,,,,,,,,,,,,,
1204,12,4,0;100,,,,,,,,,,,,,,,,
1205,12,5,0;100,,,,,,,,,,,,,,,,
1206,12,6,0;100,,,,,,,,,,,,,,,,
1207,12,7,0;100,,,,,,,,,,,,,,,,
1208,12,8,0;100,,,,,,,,,,,,,,,,
