key,ChineseSimplified,ChineseTraditional,Japanese,English,,,,,,,,,,,,,,,
ButterflyName101,阿波罗绢蝶,玉帶鳳蝶,並揚羽,Common Mormon,,,,,,,,,,,,,,,
ButterflyName102,八目丝蛱蝶,金鳳蝶,黄揚羽,Old World Swallowtail,,,,,,,,,,,,,,,
ButterflyName103,白蝴蝶,柑橘鳳蝶,長崎揚羽,Asian Swallowtail,,,,,,,,,,,,,,,
ButterflyName104,白伞弄蝶,菜粉蝶,紋白蝶,Small White,,,,,,,,,,,,,,,
ButterflyName105,斑缘豆粉蝶,遷粉蝶,大褄黄蝶,Emigrant Butterfly,,,,,,,,,,,,,,,
ButterflyName106,达摩麝凤蝶,枯葉蛺蝶,木の葉蝶,Indian Leafwing,,,,,,,,,,,,,,,
ButterflyName201,巴黎翠凤蝶,大紅蛺蝶,赤立羽,Indian Red Admiral,,,,,,,,,,,,,,,
ButterflyName202,翠叶红颈凤蝶,小紅蛺蝶,立羽擬,Painted Lady,,,,,,,,,,,,,,,
ButterflyName301,88多涡蛱蝶,美眼蛺蝶,十文字斑,Peacock Pansy,,,,,,,,,,,,,,,
ButterflyName107,大白斑蝶,白鉤蛺蝶,絵立羽,Comma,,,,,,,,,,,,,,,
ButterflyName108,大天堂鸟翼凤蝶,琉璃蛺蝶,瑠璃立羽,Blue Admiral,,,,,,,,,,,,,,,
ButterflyName109,豆粉蝶,金斑蝶,大樺斑,Plain Tiger,,,,,,,,,,,,,,,
ButterflyName110,端红蝶,藍閃蝶,モルフォチョウ,Blue Morpho,,,,,,,,,,,,,,,
ButterflyName111,非洲白凤蝶,寬紋黑脈绡蝶,グラスウイング,Glasswing Butterfly,,,,,,,,,,,,,,,
ButterflyName112,粉蝶,紅灰蝶,紅小灰蝶,Small Copper,,,,,,,,,,,,,,,
ButterflyName203,大黄带凤蝶,玉帶鳳蝶,並揚羽,Common Mormon,,,,,,,,,,,,,,,
ButterflyName204,大燕尾蝶,金鳳蝶,黄揚羽,Old World Swallowtail,,,,,,,,,,,,,,,
ButterflyName302,东方之珠蝶,柑橘鳳蝶,長崎揚羽,Asian Swallowtail,,,,,,,,,,,,,,,
ButterflyName113,柑橘凤蝶,菜粉蝶,紋白蝶,Small White,,,,,,,,,,,,,,,
ButterflyName114,红带黑粉蝶,遷粉蝶,大褄黄蝶,Emigrant Butterfly,,,,,,,,,,,,,,,
ButterflyName115,虎斑玳瑁凤蝶,枯葉蛺蝶,木の葉蝶,Indian Leafwing,,,,,,,,,,,,,,,
ButterflyName116,虎斑蝶,大紅蛺蝶,赤立羽,Indian Red Admiral,,,,,,,,,,,,,,,
ButterflyName117,绿袖蝶,小紅蛺蝶,立羽擬,Painted Lady,,,,,,,,,,,,,,,
ButterflyName118,美姝凤蝶,美眼蛺蝶,十文字斑,Peacock Pansy,,,,,,,,,,,,,,,
ButterflyName205,大紫蛱蝶,白鉤蛺蝶,絵立羽,Comma,,,,,,,,,,,,,,,
ButterflyName206,钩凤蝶,琉璃蛺蝶,瑠璃立羽,Blue Admiral,,,,,,,,,,,,,,,
ButterflyName207,褐钩凤蝶,金斑蝶,大樺斑,Plain Tiger,,,,,,,,,,,,,,,
ButterflyName208,黑脉蛱蝶,藍閃蝶,モルフォチョウ,Blue Morpho,,,,,,,,,,,,,,,
ButterflyName209,红斑美凤蝶,寬紋黑脈绡蝶,グラスウイング,Glasswing Butterfly,,,,,,,,,,,,,,,
ButterflyName210,红尖粉翅蝶,紅灰蝶,紅小灰蝶,Small Copper,,,,,,,,,,,,,,,
ButterflyName303,非洲青凤蝶,玉帶鳳蝶,並揚羽,Common Mormon,,,,,,,,,,,,,,,
ButterflyName304,极乐鸟翼凤蝶,金鳳蝶,黄揚羽,Old World Swallowtail,,,,,,,,,,,,,,,
ButterflyName305,蓝豹律蛱蝶,柑橘鳳蝶,長崎揚羽,Asian Swallowtail,,,,,,,,,,,,,,,
ButterflyName119,鸟翼裳凤蝶雌蝶,菜粉蝶,紋白蝶,Small White,,,,,,,,,,,,,,,
ButterflyName120,青斑蝶,遷粉蝶,大褄黄蝶,Emigrant Butterfly,,,,,,,,,,,,,,,
ButterflyName121,青带透翅蛱蝶,枯葉蛺蝶,木の葉蝶,Indian Leafwing,,,,,,,,,,,,,,,
ButterflyName122,三尾螯蛱蝶,大紅蛺蝶,赤立羽,Indian Red Admiral,,,,,,,,,,,,,,,
ButterflyName123,双尾蛱蝶,小紅蛺蝶,立羽擬,Painted Lady,,,,,,,,,,,,,,,
ButterflyName124,天堂凤蝶,美眼蛺蝶,十文字斑,Peacock Pansy,,,,,,,,,,,,,,,
ButterflyName211,黄凤蝶,白鉤蛺蝶,絵立羽,Comma,,,,,,,,,,,,,,,
ButterflyName212,交脉环蝶,琉璃蛺蝶,瑠璃立羽,Blue Admiral,,,,,,,,,,,,,,,
ButterflyName213,蓝裙美凤蝶,金斑蝶,大樺斑,Plain Tiger,,,,,,,,,,,,,,,
ButterflyName214,里士满鸟翼凤蝶,藍閃蝶,モルフォチョウ,Blue Morpho,,,,,,,,,,,,,,,
ButterflyName215,猫蛱蝶,寬紋黑脈绡蝶,グラスウイング,Glasswing Butterfly,,,,,,,,,,,,,,,
ButterflyName216,玫瑰青凤蝶,紅灰蝶,紅小灰蝶,Small Copper,,,,,,,,,,,,,,,
ButterflyName306,琉球紫蛱蝶,藍閃蝶,モルフォチョウ,Blue Morpho,,,,,,,,,,,,,,,
ButterflyName307,猫头鹰蝶,寬紋黑脈绡蝶,グラスウイング,Glasswing Butterfly,,,,,,,,,,,,,,,
ButterflyName308,玫瑰水晶眼蝶,紅灰蝶,紅小灰蝶,Small Copper,,,,,,,,,,,,,,,
