加减分状态,连击状态,加减分数值,时间窗口（秒）,规则说明,,,,,,,,,,,,,,
State,Combo,num,timelag,,,,,,,,,,,,,,,
add,0,5,,,,,,,,,,,,,,,,
add,1,5,30,连对1次,,,,,,,,,,,,,,
add,2,5,30,连对2次,,,,,,,,,,,,,,
add,3,5,30,连对3次,,,,,,,,,,,,,,
add,4,10,28,连对4次,,,,,,,,,,,,,,
add,5,10,28,连对5次,,,,,,,,,,,,,,
add,6,10,28,连对6次,,,,,,,,,,,,,,
add,7,15,26,连对7次,,,,,,,,,,,,,,
add,8,15,26,连对8次,,,,,,,,,,,,,,
add,9,20,24,连对9次,,,,,,,,,,,,,,
add,10,25,22,连对10次,,,,,,,,,,,,,,
add,11,30,20,连对11次,,,,,,,,,,,,,,
add,12,35,18,连对12次,,,,,,,,,,,,,,
add,13,40,16,连对13次,,,,,,,,,,,,,,
add,14,50,14,连对14次,,,,,,,,,,,,,,
add,15,60,12,连对15次,,,,,,,,,,,,,,
add,16,70,10,连对16次,,,,,,,,,,,,,,
sub,3,-1,10000,同一个词，连错3次,,,,,,,,,,,,,,
